id,category,title,instruction,prompt,expectedDuration
body-001,신체감각,호흡 관찰하기,편안한 자세로 앉아 5분간 자신의 호흡을 관찰하세요.,호흡할 때 몸의 어느 부분이 움직이나요? 어떤 리듬을 느끼나요?,5
body-002,신체감각,근육 긴장 찾기,머리부터 발끝까지 천천히 스캔하며 긴장된 부위를 찾아보세요.,어느 부위가 가장 긴장되어 있나요? 그 긴장은 어떤 감정과 연결되어 있나요?,10
body-003,신체감각,심장 박동 느끼기,손을 가슴에 올리고 심장 박동을 1분간 느껴보세요.,"심장 박동이 규칙적인가요, 불규칙한가요? 어떤 리듬인가요?",3
body-004,신체감각,발바닥 감각 깨우기,신발을 벗고 맨발로 바닥을 천천히 밟아보세요.,"바닥의 질감, 온도, 압력을 느끼나요? 몸의 균형은 어떤가요?",5
body-005,신체감각,온도 감각 탐색,손을 따뜻한 물과 차가운 물에 번갈아 담가보세요.,온도 변화가 기분에 어떤 영향을 주나요?,7
thought-001,자동적 사고,부정적 생각 포착하기,오늘 떠오른 부정적 생각을 하나 떠올려보세요.,"그 생각은 사실인가요, 아니면 해석인가요? 다른 해석도 가능한가요?",5
thought-002,자동적 사고,생각 vs 사실 구분하기,최근 스트레스 상황에서 떠올랐던 생각을 적어보세요.,"이 생각 중 객관적 사실은 무엇이고, 주관적 해석은 무엇인가요?",8
thought-003,자동적 사고,반복되는 생각 패턴 찾기,자주 반복되는 부정적 생각 패턴을 찾아보세요.,이 패턴은 언제부터 시작되었나요? 어떤 상황에서 주로 나타나나요?,10
thought-004,자동적 사고,걱정 시간제 정하기,"걱정을 5분으로 제한하고, 타이머를 설정하세요.",시간 제한이 있을 때 걱정의 내용이나 강도가 달라지나요?,5
thought-005,자동적 사고,생각에 이름 붙이기,"떠오르는 생각을 관찰하고 '이건 걱정이야', '이건 계획이야'처럼 라벨을 붙여보세요.",생각을 분류하니 거리감이 생기나요?,7
emotion-001,감정,지금 이 순간의 감정,눈을 감고 지금 느껴지는 감정을 찾아보세요.,그 감정을 한 단어로 표현한다면? 몸의 어디에서 느껴지나요?,5
emotion-002,감정,감정의 색깔,지금 느끼는 감정을 색깔로 표현해보세요.,"왜 그 색깔이 떠올랐나요? 색의 명도, 채도는 어떤가요?",5
emotion-003,감정,감정 강도 측정,현재 감정의 강도를 1~10점으로 평가해보세요.,10분 전과 비교하면 어떤가요? 무엇이 변화를 만들었나요?,3
emotion-004,감정,복합 감정 탐색,지금 동시에 느껴지는 여러 감정들을 나열해보세요.,"어떤 감정들이 섞여 있나요? 서로 충돌하나요, 공존하나요?",7
emotion-005,감정,감정의 파도 관찰,5분간 감정의 변화를 파도처럼 관찰해보세요.,감정이 어떻게 올라왔다가 내려가나요? 정점은 언제인가요?,5
stimulus-001,외부 자극,5-4-3-2-1 감각 깨우기,"보이는 것 5개, 만져지는 것 4개, 들리는 것 3개, 냄새 2개, 맛 1개를 찾아보세요.",어떤 감각이 가장 선명했나요? 기분이 달라졌나요?,10
stimulus-002,외부 자극,소리 풍경 그리기,눈을 감고 3분간 들리는 모든 소리를 기록해보세요.,가장 가까운 소리와 가장 먼 소리는 무엇인가요?,5
stimulus-003,외부 자극,빛과 그림자 관찰,주변의 빛과 그림자 패턴을 5분간 관찰하세요.,빛의 질감은 어떤가요? 그림자가 만드는 형태는?,5
stimulus-004,외부 자극,촉감 탐험,주변에서 다양한 질감의 물건 5개를 만져보세요.,가장 편안한 촉감과 불편한 촉감은 무엇인가요?,7
stimulus-005,외부 자극,향기 기억,좋아하는 향기를 맡거나 떠올려보세요.,그 향기가 어떤 기억이나 감정을 불러일으키나요?,5
perspective-001,관점 전환,10년 후의 나,10년 후의 내가 지금의 상황을 본다면 뭐라고 말할까요?,그 관점에서 보면 지금 고민이 어떻게 보이나요?,10
perspective-002,관점 전환,친구에게 조언하기,내 상황을 가장 친한 친구가 겪고 있다고 상상하고 조언해보세요.,친구에게는 어떤 말을 해주고 싶나요? 나에게도 같은 말을 할 수 있나요?,8
perspective-003,관점 전환,반대 가능성 탐색,확신하는 생각의 정반대 가능성을 찾아보세요.,반대 증거는 무엇이 있나요? 그럴 가능성은 몇 퍼센트일까요?,7
perspective-004,관점 전환,우주적 관점,우주에서 지구를 바라보듯 나의 상황을 멀리서 바라보세요.,큰 그림에서 보면 이 문제의 크기는 어느 정도인가요?,5
perspective-005,관점 전환,문제를 선물로,지금의 어려움이 가져다줄 수 있는 긍정적 변화를 상상해보세요.,이 경험이 나를 어떻게 성장시킬 수 있을까요?,8
creative-001,창의적 실험,감정 스케치,"지금 느끼는 감정을 그림, 도형, 낙서로 표현해보세요.","어떤 선, 색, 모양이 나왔나요? 그리고 나니 감정이 변했나요?",10
creative-002,창의적 실험,감정의 사운드트랙,지금 기분을 가장 잘 표현하는 음악이나 소리를 찾아 들어보세요.,왜 그 음악이 떠올랐나요? 듣고 나니 기분이 어떤가요?,10
creative-003,창의적 실험,움직임으로 표현하기,지금의 감정을 몸동작으로 표현해보세요.,"어떤 움직임이 나왔나요? 자유로운가요, 경직된가요?",5
creative-004,창의적 실험,감정 시 쓰기,지금의 기분을 3줄 시로 표현해보세요.,어떤 단어들이 떠올랐나요? 운율이 있나요?,10
creative-005,창의적 실험,콜라주 만들기,잡지나 온라인 이미지를 모아 지금 기분을 표현하는 콜라주를 만들어보세요.,어떤 이미지에 끌렸나요? 왜 그 이미지들이었나요?,15
relax-001,이완,점진적 근육 이완,발끝부터 시작해서 각 근육을 5초씩 긴장시켰다가 이완하세요.,어느 부위가 가장 이완하기 어려웠나요? 전체적으로 몸이 가벼워졌나요?,15
relax-002,이완,4-7-8 호흡법,"4초 들이쉬고, 7초 참고, 8초 내쉬는 호흡을 4회 반복하세요.",심박수가 느려지는 게 느껴지나요? 긴장이 풀리나요?,5
relax-003,이완,따뜻한 샤워 명상,따뜻한 물로 샤워하며 물이 스트레스를 씻어내는 상상을 하세요.,물과 함께 무엇이 씻겨 내려가나요?,10
relax-004,이완,안전한 장소 상상,가장 편안하고 안전하다고 느끼는 장소를 5분간 상상하세요.,"그곳에서 무엇이 보이고, 들리고, 느껴지나요?",5
relax-005,이완,자연 소리 듣기,"빗소리, 파도 소리 등 자연의 소리를 10분간 들어보세요.",어떤 소리가 가장 편안한가요? 마음이 고요해지나요?,10
reflect-001,성찰,오늘의 감사 3가지,오늘 감사한 일 3가지를 떠올려보세요.,왜 그것들이 감사한가요? 작은 것도 포함되나요?,5
reflect-002,성찰,나의 감정 패턴,이번 주 감정 변화를 돌아보세요.,어떤 패턴이 보이나요? 특정 시간대나 상황과 관련이 있나요?,10
